,Муниципалитет,округ,ФИО,,
4-2,Гагаринское,3,Зыков Валерий Вадимович,СР,
,Гагаринское,3,Михалева Анна Михайловна,СР,
,Гагаринское,4,Шестерень Алексей Николаевич,СР,
,Гагаринское,4,Соколов Валентин Владимирович,СР,
,Гагаринское,4,Дашимолонов Чингис Викторович,СР,
,Гагаринское,4,Ковалишина Валерия Сергеевна,ГП,
,Гагаринское,4,Шипулин Михаил Иванович,ГП,
,Георгиевский,220,Плотников Алексей Иванович,,
,Георгиевский,220,Морозов Антон Андреевич,,
,Георгиевский,220,Башловкина Марина Андреевна,,
,Георгиевский,220,Сорокин Александр Викторович,,
,Георгиевский,220,Живаев Владимир Николаевич,,
,Георгиевский,221,Макаров Валерий Николаевич,,
,Георгиевский,221,Рыбина Валентина Ивановна,,
,Георгиевский,221,Плотников Михаил Иванович,,
,Георгиевский,222,Ларионов Вячеслав Николаевич,,
,Георгиевский,222,Воронков Сергей Александрович,,
,Георгиевский,222,Пилявский Валерий Павлович,,
,Георгиевский,222,Баляницына Людмила Николаевна,,
,Георгиевский,222,Маслова Анастасия Евгеньевна,,
,Георгиевский,223,Сорокин Алексей Викторович,,
,Георгиевский,223,Кравчук Татьяна Валерьевна,???,
,Горелово,1,Орел Лариса Николаевна,Я,
,Горелово,1,Якимов Андрей Николаевич,Я,Отказ в регистрации
,Горелово,1,Левашов Александр Юрьевич,,
,Горелово,1,Скрипник Сергей Александрович,,
,Горелово,1,Миняев Вячеслав Михайлович,,
,Горелово,2,Артюшина Екатерина Александровна,,
,Горелово,2,Петрова Лариса Федоровна,,
,Горелово,2,Кирпичева Людмила Константиновна,,
,Горелово,2,Полоцкая Юлия Александровна,,
,Горелово,2,Песецкая Дарья Игоревна,,
,Гражданка,45,Намазов Андрей Юрьевич,Я,
,Гражданка,45,Нефедова Любовь Александровна,Я,
,Гражданка,45,Щукина Екатерина Андреевна,,
,Гражданка,46,Дубровин Александр Васильевич,,
,Гражданка,46,Беляева Елена Вячеславовна,Я,
,Гражданка,46,Буевич Алена Эдуардовна,Я,
,Гражданка,46,Пашинский Александр Викторович,Я,
,Гражданка,46,Сангурский Роман Андреевич,Я,
,Гражданка,47,Алексеева Елена Маркияновна,Я,
,Гражданка,47,Назаров Сергей Анатольевич,Я,
,Гражданка,47,Сидорченко Екатерина Юрьевна,Я,
,Гражданка,47,Снисаренко Анатолий Николаевич,,
,Гражданка,47,Буевич Виктор Андреевич,,
,Гражданка,48,Амосов Михаил Иванович,Я,
,Гражданка,48,Иванов Константин Александрович,Я,
,Гражданка,48,Королев Эдуард Викторович,Я,
,Гражданка,48,Петрова Наталия Евгеньевна,Я,
,Гражданка,48,Дементьев Владимир Борисович,,
,Дачное,77,Бровин Игорь Анатольевич,,
,Дачное,78,Иванов Сергей Алексеевич,,
,Дачное,78,Самошкин Сергей Николаевич,,
,Дачное,78,Куценко Кирилл Евгеньевич,СР,
,Дачное,78,Громов Константин Валентинович,Я,
,Дачное,79,Молчанов Владимир Михайлович,Я,
,Дачное,79,Савельев Николай Николаевич,Я,
,Дачное,79,Спиридонова Анастасия Владимировна,Я,
,Дачное,79,Григорьев Сергей Александрович,Я,
,Дачное,79,Гузенков Олег Петрович,,
,Дачное,80,Палевич Андрей Анатольевич,Я,
,Дачное,80,Петровский Филипп Владиславович,Я,
,Дачное,80,Щербаков Игорь Владимирович,,
,Дачное,80,Веремейчик Валерий Павлович,,
